id,titulo,artista,palavra
300,The search,NF,at
301,The search,NF,the
302,The search,NF,crowd
303,The search,NF,and
304,The search,NF,see
305,The search,NF,so
306,The search,NF,many
307,The search,NF,faces
308,The search,NF,yeah
309,The search,NF,That's
310,The search,NF,when
311,The search,NF,I
312,The search,NF,start
313,The search,NF,to
314,The search,NF,get
315,The search,NF,anxious
316,The search,NF,That's
317,The search,NF,when
318,The search,NF,my
319,The search,NF,thoughts
320,The search,NF,can
321,The search,NF,be
322,The search,NF,dangerous
323,The search,NF,That's
324,The search,NF,when
325,The search,NF,I
326,The search,NF,put
327,The search,NF,on
328,The search,NF,my
329,The search,NF,makeup
330,The search,NF,and
331,The search,NF,drown
332,The search,NF,in
333,The search,NF,self
334,The search,NF,hatred
335,The search,NF,Forget
336,The search,NF,what
337,The search,NF,I'm
338,The search,NF,saying
339,The search,NF,and
340,The search,NF,Where'd
341,The search,NF,the
342,The search,NF,beat
343,The search,NF,go
344,The search,NF,Oh
345,The search,NF,ain't
346,The search,NF,that
347,The search,NF,somethin
348,The search,NF,Drums
349,The search,NF,came
350,The search,NF,in
351,The search,NF,you
352,The search,NF,ain't
353,The search,NF,see
354,The search,NF,that
355,The search,NF,comin
356,The search,NF,Hands
357,The search,NF,on
358,The search,NF,my
359,The search,NF,head
360,The search,NF,can't
361,The search,NF,tell
362,The search,NF,me
363,The search,NF,nothin
364,The search,NF,Got
365,The search,NF,a
366,The search,NF,taste
367,The search,NF,of
368,The search,NF,the
369,The search,NF,fame
370,The search,NF,had
371,The search,NF,to
372,The search,NF,pump
373,The search,NF,my
374,The search,NF,stomach
375,The search,NF,Throw
376,The search,NF,it
377,The search,NF,back
378,The search,NF,up
379,The search,NF,like
380,The search,NF,I
381,The search,NF,don't
382,The search,NF,want
383,The search,NF,it
384,The search,NF,Wipe
385,The search,NF,my
386,The search,NF,face
387,The search,NF,clean
388,The search,NF,up
389,The search,NF,my
390,The search,NF,vomit
391,The search,NF,OCD
392,The search,NF,tryna
393,The search,NF,push
394,The search,NF,my
395,The search,NF,buttons
396,The search,NF,I
397,The search,NF,said
398,The search,NF,don't
399,The search,NF,touch
400,The search,NF,it
401,The search,NF,now
402,The search,NF,y'all
403,The search,NF,done
404,The search,NF,it
405,The search,NF,I
406,The search,NF,can
407,The search,NF,be
408,The search,NF,critical
409,The search,NF,never
410,The search,NF,typical
411,The search,NF,Intricate
412,The search,NF,with
413,The search,NF,every
414,The search,NF,syllable
415,The search,NF,I'm
416,The search,NF,a
417,The search,NF,criminal
418,The search,NF,Intimate
419,The search,NF,but
420,The search,NF,never
421,The search,NF,political
422,The search,NF,pretty
423,The search,NF,visual
424,The search,NF,Even
425,The search,NF,if
426,The search,NF,you
427,The search,NF,hate
428,The search,NF,it
429,The search,NF,I'll
430,The search,NF,make
431,The search,NF,it
432,The search,NF,feel
433,The search,NF,like
434,The search,NF,you're
435,The search,NF,in
436,The search,NF,it
437,The search,NF,though
438,The search,NF,You
439,The search,NF,call
440,The search,NF,me
441,The search,NF,what
442,The search,NF,you
443,The search,NF,wanna
444,The search,NF,but
445,The search,NF,never
446,The search,NF,call
447,The search,NF,me
448,The search,NF,forgettable
449,The search,NF,Leave
450,The search,NF,you
451,The search,NF,deep
452,The search,NF,in
453,The search,NF,thought
454,The search,NF,I
455,The search,NF,could
